Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/average,Replicate ,Mutant,Condition ,Hour after treatment 
tvrR_T0_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.282,10.299,0.064,"28,989,400.00","28,676,822.00",0.004953856,2,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.733,15.713,0.044,"442,730.75","449,134.63",,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.662,15.713,0.044,"464,707.72","449,134.63",,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.743,15.713,0.044,"439,965.41","449,134.63",,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.166,10.166,0.032,"31,442,518.00","31,461,864.00",0.014071981,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.134,10.166,0.032,"32,164,800.00","31,461,864.00",0.014770508,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.197,10.166,0.032,"30,778,272.00","31,461,864.00",0.013984086,3,tvrR ,NA,0
procat_T0_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.817,14.843,0.077,"826,190.44","812,387.19",,1,procat,NA,0
procat_T0_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.93,14.843,0.077,"764,939.31","812,387.19",,1,procat,NA,0
procat_T0_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.782,14.843,0.077,"846,031.63","812,387.19",,1,procat,NA,0
procat_T0_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.044,9.02,0.075,"68,953,376.00","70,144,744.00",0.011778366,1,procat,NA,0
procat_T0_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.082,9.02,0.075,"67,145,616.00","70,144,744.00",0.010905155,1,procat,NA,0
procat_T0_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.936,9.02,0.075,"74,335,240.00","70,144,744.00",0.012061226,1,procat,NA,0
procat_T0_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.123,16.966,0.629,"171,830.94","207,123.11",,2,procat,NA,0
procat_T0_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.154,16.966,0.629,"332,497.25","207,123.11",,2,procat,NA,0
procat_T0_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.215,16.966,0.629,"318,860.50","207,123.11",,2,procat,NA,0
procat_T0_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.636,9.41,0.196,"45,548,404.00","53,690,812.00",0.003200379,2,procat,NA,0
procat_T0_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.293,9.41,0.196,"57,913,360.00","53,690,812.00",0.006192815,2,procat,NA,0
procat_T0_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.301,9.41,0.196,"57,610,672.00","53,690,812.00",0.005938828,2,procat,NA,0
procat_T0_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.266,15.123,0.134,"608,619.56","672,699.94",,3,procat,NA,0
procat_T0_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15,15.123,0.134,"729,435.69","672,699.94",,3,procat,NA,0
procat_T0_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.103,15.123,0.134,"680,044.44","672,699.94",,3,procat,NA,0
procat_T0_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.464,10.373,0.095,"25,537,724.00","27,242,234.00",0.02234103,3,procat,NA,0
procat_T0_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.275,10.373,0.095,"29,138,350.00","27,242,234.00",0.026775913,3,procat,NA,0
procat_T0_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.381,10.373,0.095,"27,050,634.00","27,242,234.00",0.024962873,3,procat,NA,0
